Sleeping_place_fixed_or_not,Division,Work_hour,Age,Eating_location,Aware_of_organizations,school_attend
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,less than 11,Street Shop,No,Yes
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Chittagong,from 8 to 12 hr,less than 11,Street Shop,Yes,Yes
No,Chittagong,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Chittagong,upto 8hr,from 11  to 14,Street Shop,Yes,No
No,Chittagong,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Chittagong,from 8 to 12 hr,less than 11,Street Shop,No,No
Yes,Chittagong,more than 12 hr,less than 11,Street Shop,No,No
No,Chittagong,from 8 to 12 hr,less than 11,Street Shop,No,Yes
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,Yes
No,Chittagong,upto 8hr,less than 11,Street Shop,No,No
No,Chittagong,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Chittagong,upto 8hr,from 11  to 14,Begging or collecting from dustbin,Yes,No
No,Chittagong,upto 8hr,less than 11,Street Shop,No,No
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Chittagong,from 8 to 12 hr,from 11  to 14,Begging or collecting from dustbin,Yes,Yes
Yes,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Chittagong,from 8 to 12 hr,from 11  to 14,Street Shop,Yes,Yes
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,Yes
No,Chittagong,upto 8hr,more than 14,Street Shop,No,No
Yes,Chittagong,upto 8hr,less than 11,Street Shop,No,No
No,Chittagong,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Chittagong,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
No,Chittagong,upto 8hr,more than 14,Street Shop,No,No
Yes,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Chittagong,upto 8hr,less than 11,Street Shop,No,No
Yes,Chittagong,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Chittagong,upto 8hr,less than 11,Street Shop,No,No
Yes,Chittagong,from 8 to 12 hr,from 11  to 14,Street Shop,Yes,Yes
Yes,Chittagong,from 8 to 12 hr,more than 14,Street Shop,No,Yes
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
No,Chittagong,from 8 to 12 hr,more than 14,Street Shop,No,Yes
No,Chittagong,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Rajshahi,more than 12 hr,from 11  to 14,Begging or collecting from dustbin,No,No
Yes,Rajshahi,upto 8hr,from 11  to 14,Street Shop,Yes,Yes
Yes,Rajshahi,upto 8hr,from 11  to 14,Street Shop,Yes,Yes
Yes,Rajshahi,from 8 to 12 hr,less than 11,Street Shop,No,Yes
Yes,Rajshahi,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Rajshahi,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Rajshahi,from 8 to 12 hr,less than 11,Begging or collecting from dustbin,No,No
Yes,Rajshahi,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Rajshahi,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
No,Rajshahi,upto 8hr,from 11  to 14,Begging or collecting from dustbin,No,No
