Sleeping_place_fixed_or_not,Division,Work_hour,Age,Eating_location,Aware_of_organizations,school_attend
No,Sylhet,from 8 to 12 hr,more than 14,Street Shop,No,No
Yes,Sylhet,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Sylhet,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Sylhet,from 8 to 12 hr,less than 11,Street Shop,No,No
Yes,Sylhet,from 8 to 12 hr,more than 14,Street Shop,No,No
Yes,Sylhet,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Sylhet,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Sylhet,from 8 to 12 hr,less than 11,Street Shop,No,No
Yes,Sylhet,from 8 to 12 hr,less than 11,Street Shop,No,No
Yes,Sylhet,upto 8hr,from 11  to 14,Begging or collecting from dustbin,No,No
Yes,Sylhet,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Sylhet,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Sylhet,upto 8hr,less than 11,Street Shop,No,No
Yes,Sylhet,upto 8hr,less than 11,Street Shop,No,Yes
No,Sylhet,from 8 to 12 hr,more than 14,Street Shop,No,No
Yes,Sylhet,from 8 to 12 hr,less than 11,Street Shop,No,No
No,Sylhet,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Sylhet,more than 12 hr,more than 14,Street Shop,No,No
Yes,Sylhet,from 8 to 12 hr,more than 14,Street Shop,No,No
Yes,Sylhet,upto 8hr,more than 14,Street Shop,No,No
Yes,Sylhet,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Sylhet,upto 8hr,less than 11,Street Shop,No,No
Yes,Sylhet,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Sylhet,from 8 to 12 hr,less than 11,Street Shop,No,No
Yes,Sylhet,from 8 to 12 hr,more than 14,Street Shop,No,Yes
Yes,Sylhet,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Sylhet,more than 12 hr,more than 14,Street Shop,Yes,Yes
Yes,Sylhet,from 8 to 12 hr,more than 14,Street Shop,No,No
Yes,Khulna,from 8 to 12 hr,more than 14,Street Shop,No,No
Yes,Khulna,from 8 to 12 hr,more than 14,Street Shop,No,No
Yes,Khulna,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Khulna,more than 12 hr,from 11  to 14,Begging or collecting from dustbin,No,Yes
Yes,Khulna,from 8 to 12 hr,more than 14,Street Shop,No,No
Yes,Khulna,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Khulna,more than 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Khulna,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Khulna,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Khulna,more than 12 hr,more than 14,Street Shop,No,No
Yes,Khulna,more than 12 hr,more than 14,Street Shop,No,No
Yes,Khulna,more than 12 hr,less than 11,Street Shop,No,No
Yes,Khulna,more than 12 hr,less than 11,Street Shop,No,No
No,Khulna,upto 8hr,from 11  to 14,Street Shop,No,No
No,Khulna,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Khulna,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Khulna,upto 8hr,less than 11,Street Shop,No,Yes
Yes,Khulna,from 8 to 12 hr,less than 11,Begging or collecting from dustbin,No,Yes
Yes,Khulna,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Khulna,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Khulna,from 8 to 12 hr,less than 11,Street Shop,No,No
Yes,Khulna,more than 12 hr,less than 11,Street Shop,No,No
Yes,Khulna,from 8 to 12 hr,less than 11,Street Shop,No,Yes
Yes,Khulna,from 8 to 12 hr,from 11  to 14,Street Shop,No,No
Yes,Khulna,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Khulna,more than 12 hr,from 11  to 14,Street Shop,No,No
Yes,Khulna,upto 8hr,less than 11,Street Shop,No,Yes
Yes,Dhaka,from 8 to 12 hr,less than 11,Street Shop,No,No
Yes,Dhaka,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Barisal,upto 8hr,less than 11,Street Shop,No,Yes
Yes,Barisal,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Barisal,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Barisal,from 8 to 12 hr,more than 14,Street Shop,No,No
Yes,Barisal,upto 8hr,more than 14,Street Shop,No,No
Yes,Barisal,upto 8hr,less than 11,Street Shop,No,No
Yes,Barisal,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Barisal,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Barisal,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Barisal,upto 8hr,more than 14,Street Shop,No,No
Yes,Barisal,upto 8hr,less than 11,Street Shop,No,No
Yes,Barisal,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Barisal,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Barisal,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Barisal,upto 8hr,less than 11,Street Shop,No,No
Yes,Barisal,from 8 to 12 hr,from 11  to 14,Street Shop,No,Yes
Yes,Barisal,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Barisal,upto 8hr,less than 11,Begging or collecting from dustbin,No,Yes
Yes,Barisal,upto 8hr,from 11  to 14,Street Shop,No,No
Yes,Barisal,more than 12 hr,more than 14,Street Shop,No,No
Yes,Barisal,from 8 to 12 hr,more than 14,Street Shop,Yes,Yes
Yes,Barisal,upto 8hr,from 11  to 14,Street Shop,No,Yes
Yes,Barisal,upto 8hr,less than 11,Street Shop,No,No
Yes,Barisal,upto 8hr,less than 11,Street Shop,No,No
